week,date,home,score,away,xG,xG_1,venue,referee,home_goals,away_goals,season_start,result,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,home_rolling_avg_goals,away_rolling_avg_goals,home_rolling_avg_xG,away_rolling_avg_xG
9,2018-10-19,Celta Vigo,0–1,Alavés,0.9,0.9,Estadio de Balaídos,Carlos del Cerro,0.0,1.0,2018,Away win,True,False,False,False,False,False,False,1.6,1.8,0.9,1.1600000000000001
9,2018-10-20,Real Madrid,1–2,Levante,2.9,2.0,Estadio Santiago Bernabéu,Guillermo Cuadra,1.0,2.0,2018,Away win,False,False,True,False,False,False,False,0.4,1.2,1.26,1.3
9,2018-10-20,Valencia,1–1,Leganés,1.3,1.0,Estadio de Mestalla,Ignacio Iglesias,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,0.6,0.6,0.9800000000000001,0.8400000000000001
9,2018-10-20,Villarreal,1–1,Atlético Madrid,1.9,1.4,Estadio de la Cerámica,Daniel Ask,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,1.0,1.4,1.6,1.1400000000000001
9,2018-10-20,Barcelona,4–2,Sevilla,2.5,2.2,Camp Nou,Juan Martínez,4.0,2.0,2018,Home win,False,False,True,False,False,False,False,1.4,2.8,1.3599999999999999,2.12
9,2018-10-21,Huesca,0–2,Espanyol,0.4,1.7,Estadio El Alcoraz,Eduardo Prieto,0.0,2.0,2018,Away win,False,False,False,True,False,False,False,0.2,1.4,1.06,1.36
9,2018-10-21,Betis,0–1,Valladolid,0.9,0.4,Estadio Benito Villamarín,Hsu Jason,0.0,1.0,2018,Away win,False,False,False,True,False,False,False,0.8,1.4,1.1400000000000001,1.1600000000000001
9,2018-10-21,Rayo Vallecano,1–2,Getafe,0.4,0.5,Estadio del Rayo Vallecano,Mario Melero,1.0,2.0,2018,Away win,False,False,False,True,False,False,False,1.2,0.8,1.3,1.1800000000000002
9,2018-10-21,Eibar,1–1,Athletic Club,1.9,0.7,Estadio Municipal de Ipurúa,Jesús Gil,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,1.2,1.0,1.08,1.02
9,2018-10-22,Real Sociedad,0–0,Girona,0.6,0.9,Estadio Municipal de Anoeta,Pablo González,0.0,0.0,2018,Draw,False,True,False,False,False,False,False,1.4,1.6,1.3399999999999999,1.38
3,2018-10-24,Rayo Vallecano,1–1,Athletic Club,1.3,1.3,Estadio del Rayo Vallecano,Guillermo Cuadra,1.0,1.0,2018,Draw,False,False,False,False,False,False,True,1.2,1.0,1.1400000000000001,0.8800000000000001
10,2018-10-26,Valladolid,1–1,Espanyol,1.1,0.5,Estadio Municipal José Zorrilla,Adrián Cordero,1.0,1.0,2018,Draw,True,False,False,False,False,False,False,1.6,1.6,1.02,1.3800000000000001
10,2018-10-27,Celta Vigo,4–0,Eibar,0.8,1.7,Estadio de Balaídos,José González,4.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.2,1.2,0.8800000000000001,1.2
10,2018-10-27,Levante,2–0,Leganés,1.3,1.4,Estadio Ciudad de Valencia,Ricardo de Burgos,2.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.6,0.8,1.54,0.76
10,2018-10-27,Atlético Madrid,2–0,Real Sociedad,1.4,0.3,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,2.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.4,1.2,0.96,1.1800000000000002
10,2018-10-27,Girona,2–1,Rayo Vallecano,2.4,1.6,Estadi Municipal de Montilivi,José Luis Munuera,2.0,1.0,2018,Home win,False,False,True,False,False,False,False,1.0,1.2,1.22,1.1
10,2018-10-27,Athletic Club,0–0,Valencia,0.7,0.5,San Mamés,Alberto Undiano,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,0.8,0.8,1.02,1.04
10,2018-10-28,Getafe,2–0,Betis,2.2,0.5,Coliseum Alfonso Pérez,Santiago Jaime,2.0,0.0,2018,Home win,False,False,False,True,False,False,False,0.8,0.8,0.9,1.1199999999999999
10,2018-10-28,Barcelona,5–1,Real Madrid,3.0,2.1,Camp Nou,José Sánchez,5.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.8,0.4,1.58,1.48
10,2018-10-28,Alavés,2–1,Villarreal,1.9,1.3,Estadio de Mendizorroza,Guillermo Cuadra,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.8,1.0,1.1800000000000002,1.8800000000000001
10,2018-10-28,Sevilla,2–1,Huesca,1.7,0.8,Estadio Ramón Sánchez Pizjuán,David Medié,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,3.2,0.2,2.3200000000000003,0.8
11,2018-11-03,Leganés,1–1,Atlético Madrid,1.3,0.4,Estadio Municipal de Butarque,Mario Melero,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,0.8,1.4,0.9800000000000001,1.02
11,2018-11-03,Real Madrid,2–0,Valladolid,2.2,0.9,Estadio Santiago Bernabéu,Jesús Gil,2.0,0.0,2018,Home win,False,False,True,False,False,False,False,0.4,1.2,1.7,0.82
11,2018-11-03,Valencia,0–1,Girona,2.3,0.3,Estadio de Mestalla,Hsu Jason,0.0,1.0,2018,Away win,False,False,True,False,False,False,False,0.8,1.0,1.06,1.4
11,2018-11-03,Rayo Vallecano,2–3,Barcelona,1.6,1.9,Estadio del Rayo Vallecano,Alejandro Hernández,2.0,3.0,2018,Away win,False,False,True,False,False,False,False,1.0,2.4,1.0,1.9
11,2018-11-04,Betis,3–3,Celta Vigo,1.7,2.1,Estadio Benito Villamarín,Daniel Ask,3.0,3.0,2018,Draw,False,False,False,True,False,False,False,0.4,1.4,1.0,0.6599999999999999
11,2018-11-04,Real Sociedad,0–0,Sevilla,0.6,0.4,Estadio Municipal de Anoeta,Eduardo Prieto,0.0,0.0,2018,Draw,False,False,False,True,False,False,False,1.0,2.4,1.2,2.02
11,2018-11-04,Eibar,2–1,Alavés,1.5,0.6,Estadio Municipal de Ipurúa,Ignacio Iglesias,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.0,1.2,1.2799999999999998,1.3
11,2018-11-04,Villarreal,1–1,Levante,1.2,0.5,Estadio de la Cerámica,Carlos del Cerro,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,1.2,1.6,2.0,1.34
11,2018-11-04,Huesca,1–1,Getafe,1.3,0.5,Estadio El Alcoraz,Juan Martínez,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,0.4,1.2,0.8400000000000001,1.2200000000000002
11,2018-11-05,Espanyol,1–0,Athletic Club,1.5,0.5,RCDE Stadium,Pablo González,1.0,0.0,2018,Home win,False,True,False,False,False,False,False,1.8,0.8,1.4000000000000001,1.0
12,2018-11-09,Levante,1–3,Real Sociedad,1.3,1.2,Estadio Ciudad de Valencia,David Medié,1.0,3.0,2018,Away win,True,False,False,False,False,False,False,1.6,0.6,1.28,1.0
12,2018-11-10,Valladolid,0–0,Eibar,0.5,1.1,Estadio Municipal José Zorrilla,Guillermo Cuadra,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,0.8,1.4,0.8,1.52
