Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
6.0,Thu,2019-09-26,19:00,Eibar,1.5,3–2,1.4,Sevilla,5434.0,Estadio Municipal de Ipurúa,Pablo González
6.0,Thu,2019-09-26,20:00,Celta Vigo,1.1,1–1,1.2,Espanyol,16361.0,Estadio de Balaídos,José Sánchez
6.0,Thu,2019-09-26,21:00,Real Sociedad,3.8,3–0,0.3,Alavés,28720.0,Estadio Municipal de Anoeta,David Medié
7.0,Fri,2019-09-27,21:00,Villarreal,3.2,5–1,0.7,Betis,18135.0,Estadio de la Cerámica,Daniel Ask
7.0,Sat,2019-09-28,13:00,Athletic Club,1.4,0–1,1.8,Valencia,42420.0,San Mamés,Mario Melero
7.0,Sat,2019-09-28,16:00,Getafe,1.0,0–2,1.3,Barcelona,15135.0,Coliseum Alfonso Pérez,Jesús Gil
7.0,Sat,2019-09-28,18:30,Granada,0.7,1–0,1.2,Leganés,15519.0,Estadio Nuevo Los Cármenes,Adrián Cordero
7.0,Sat,2019-09-28,21:00,Atlético Madrid,0.9,0–0,0.4,Real Madrid,68032.0,Estadio Wanda Metropolitano,José González
7.0,Sun,2019-09-29,12:00,Espanyol,1.3,0–2,1.8,Valladolid,20911.0,RCDE Stadium,Guillermo Cuadra
7.0,Sun,2019-09-29,14:00,Eibar,1.1,2–0,0.9,Celta Vigo,5453.0,Estadio Municipal de Ipurúa,Juan Martínez
7.0,Sun,2019-09-29,16:00,Alavés,2.1,2–0,0.2,Mallorca,17135.0,Estadio de Mendizorroza,Carlos del Cerro
7.0,Sun,2019-09-29,18:30,Levante,1.6,1–1,1.1,Osasuna,19362.0,Estadio Ciudad de Valencia,César Soto
7.0,Sun,2019-09-29,21:00,Sevilla,1.7,3–2,0.8,Real Sociedad,37414.0,Estadio Ramón Sánchez Pizjuán,Hsu Jason
8.0,Fri,2019-10-04,21:00,Betis,1.9,1–1,1.2,Eibar,47056.0,Estadio Benito Villamarín,Alejandro Hernández
8.0,Sat,2019-10-05,13:00,Leganés,2.8,1–2,1.2,Levante,10160.0,Estadio Municipal de Butarque,José Luis Munuera
8.0,Sat,2019-10-05,16:00,Real Madrid,2.6,4–2,1.6,Granada,70315.0,Estadio Santiago Bernabéu,Santiago Jaime
8.0,Sat,2019-10-05,18:30,Valencia,1.3,2–1,1.7,Alavés,38943.0,Estadio de Mestalla,Eduardo Prieto
8.0,Sat,2019-10-05,21:00,Osasuna,1.3,2–1,2.4,Villarreal,15349.0,Estadio El Sadar,Valentín Pizarro
8.0,Sun,2019-10-06,12:00,Mallorca,0.8,2–0,1.2,Espanyol,15052.0,Iberostar Estadi,Ricardo de Burgos
8.0,Sun,2019-10-06,14:00,Celta Vigo,1.2,1–0,0.2,Athletic Club,19690.0,Estadio de Balaídos,David Medié
8.0,Sun,2019-10-06,16:00,Valladolid,1.0,0–0,0.8,Atlético Madrid,23650.0,Estadio Municipal José Zorrilla,José Sánchez
8.0,Sun,2019-10-06,18:30,Real Sociedad,0.6,1–2,0.9,Getafe,30153.0,Estadio Municipal de Anoeta,Pablo González
8.0,Sun,2019-10-06,21:00,Barcelona,2.1,4–0,2.5,Sevilla,81331.0,Camp Nou,Antonio Matéu Lahoz
9.0,Fri,2019-10-18,21:00,Granada,0.6,1–0,0.6,Osasuna,16986.0,Estadio Nuevo Los Cármenes,Daniel Ask
9.0,Sat,2019-10-19,13:00,Eibar,0.3,0–3,1.5,Barcelona,7295.0,Estadio Municipal de Ipurúa,Mario Melero
9.0,Sat,2019-10-19,16:00,Atlético Madrid,1.6,1–1,0.7,Valencia,61603.0,Estadio Wanda Metropolitano,Adrián Cordero
9.0,Sat,2019-10-19,18:30,Getafe,1.0,2–0,0.6,Leganés,13.0,Coliseum Alfonso Pérez,Juan Martínez
9.0,Sat,2019-10-19,21:00,Mallorca,0.2,1–0,1.0,Real Madrid,20275.0,Iberostar Estadi,Hsu Jason
9.0,Sun,2019-10-20,12:00,Alavés,2.1,2–0,1.3,Celta Vigo,16584.0,Estadio de Mendizorroza,José González
9.0,Sun,2019-10-20,14:00,Real Sociedad,1.4,3–1,1.0,Betis,28032.0,Estadio Municipal de Anoeta,César Soto
9.0,Sun,2019-10-20,16:00,Espanyol,1.0,0–1,1.6,Villarreal,20653.0,RCDE Stadium,Carlos del Cerro
9.0,Sun,2019-10-20,18:30,Athletic Club,1.5,1–1,0.7,Valladolid,37107.0,San Mamés,Jesús Gil
9.0,Sun,2019-10-20,21:00,Sevilla,2.7,1–0,0.5,Levante,34612.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra
10.0,Fri,2019-10-25,21:00,Villarreal,2.5,4–1,0.8,Alavés,16049.0,Estadio de la Cerámica,David Medié
10.0,Sat,2019-10-26,16:00,Leganés,1.7,1–0,0.8,Mallorca,10058.0,Estadio Municipal de Butarque,Eduardo Prieto
10.0,Sat,2019-10-26,18:30,Valladolid,1.7,2–0,0.6,Eibar,20036.0,Estadio Municipal José Zorrilla,José Luis Munuera
10.0,Sat,2019-10-26,21:00,Atlético Madrid,1.5,2–0,0.4,Athletic Club,59211.0,Estadio Wanda Metropolitano,Alejandro Hernández
10.0,Sun,2019-10-27,12:00,Celta Vigo,0.9,0–1,0.8,Real Sociedad,18002.0,Estadio de Balaídos,Valentín Pizarro
10.0,Sun,2019-10-27,14:00,Granada,1.6,1–0,0.7,Betis,18985.0,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz
10.0,Sun,2019-10-27,16:00,Levante,0.3,0–1,1.0,Espanyol,18934.0,Estadio Ciudad de Valencia,Pablo González
10.0,Sun,2019-10-27,18:30,Sevilla,2.0,2–0,0.7,Getafe,38181.0,Estadio Ramón Sánchez Pizjuán,José Sánchez
10.0,Sun,2019-10-27,21:00,Osasuna,2.8,3–1,0.9,Valencia,14976.0,Estadio El Sadar,Santiago Jaime
11.0,Tue,2019-10-29,19:00,Alavés,0.6,1–1,1.7,Atlético Madrid,17235.0,Estadio de Mendizorroza,Daniel Ask
11.0,Tue,2019-10-29,21:15,Barcelona,2.7,5–1,1.1,Valladolid,59896.0,Camp Nou,Hsu Jason
11.0,Wed,2019-10-30,19:00,Valencia,0.8,1–1,0.6,Sevilla,37881.0,Estadio de Mestalla,Carlos del Cerro
11.0,Wed,2019-10-30,19:00,Real Sociedad,1.6,1–2,1.8,Levante,28142.0,Estadio Municipal de Anoeta,Mario Melero
11.0,Wed,2019-10-30,20:00,Athletic Club,0.3,3–0,0.9,Espanyol,37094.0,San Mamés,Juan Martínez
11.0,Wed,2019-10-30,21:00,Betis,1.0,2–1,1.7,Celta Vigo,43353.0,Estadio Benito Villamarín,Jesús Gil
11.0,Wed,2019-10-30,21:15,Real Madrid,4.8,5–0,0.3,Leganés,53870.0,Estadio Santiago Bernabéu,César Soto
11.0,Thu,2019-10-31,19:00,Mallorca,2.4,2–2,1.0,Osasuna,12641.0,Iberostar Estadi,Adrián Cordero
11.0,Thu,2019-10-31,19:00,Eibar,2.4,2–1,1.5,Villarreal,5583.0,Estadio Municipal de Ipurúa,Guillermo Cuadra
11.0,Thu,2019-10-31,21:15,Getafe,0.8,3–1,1.7,Granada,10227.0,Coliseum Alfonso Pérez,José González
12.0,Sat,2019-11-02,13:00,Espanyol,1.3,1–2,1.9,Valencia,18428.0,RCDE Stadium,Valentín Pizarro
12.0,Sat,2019-11-02,16:00,Levante,1.0,3–1,2.3,Barcelona,23341.0,Estadio Ciudad de Valencia,Alejandro Hernández
12.0,Sat,2019-11-02,18:30,Sevilla,0.7,1–1,2.8,Atlético Madrid,39957.0,Estadio Ramón Sánchez Pizjuán,José González
12.0,Sat,2019-11-02,21:00,Real Madrid,2.8,0–0,0.5,Betis,70375.0,Estadio Santiago Bernabéu,José Sánchez
12.0,Sun,2019-11-03,12:00,Valladolid,2.0,3–0,0.7,Mallorca,18419.0,Estadio Municipal José Zorrilla,David Medié
12.0,Sun,2019-11-03,14:00,Villarreal,0.8,0–0,0.9,Athletic Club,17460.0,Estadio de la Cerámica,Santiago Jaime
12.0,Sun,2019-11-03,16:00,Osasuna,3.7,4–2,1.5,Alavés,15954.0,Estadio El Sadar,José Luis Munuera
12.0,Sun,2019-11-03,18:30,Celta Vigo,0.2,0–1,0.4,Getafe,14704.0,Estadio de Balaídos,Antonio Matéu Lahoz
12.0,Sun,2019-11-03,18:30,Leganés,1.4,1–2,0.9,Eibar,9649.0,Estadio Municipal de Butarque,Pablo González
12.0,Sun,2019-11-03,21:00,Granada,0.2,1–2,1.0,Real Sociedad,16898.0,Estadio Nuevo Los Cármenes,Eduardo Prieto
13.0,Fri,2019-11-08,21:00,Real Sociedad,1.1,1–1,1.0,Leganés,27684.0,Estadio Municipal de Anoeta,Juan Martínez
13.0,Sat,2019-11-09,13:00,Alavés,3.4,3–0,0.3,Valladolid,16148.0,Estadio de Mendizorroza,Mario Melero
13.0,Sat,2019-11-09,16:00,Valencia,0.7,2–0,0.5,Granada,39882.0,Estadio de Mestalla,Daniel Ask
13.0,Sat,2019-11-09,18:30,Eibar,1.0,0–4,2.9,Real Madrid,7045.0,Estadio Municipal de Ipurúa,Adrián Cordero
13.0,Sat,2019-11-09,21:00,Barcelona,1.4,4–1,0.4,Celta Vigo,71209.0,Camp Nou,Guillermo Cuadra
13.0,Sun,2019-11-10,12:00,Mallorca,1.7,3–1,3.2,Villarreal,8348.0,Iberostar Estadi,Carlos del Cerro
13.0,Sun,2019-11-10,14:00,Athletic Club,1.6,2–1,0.6,Levante,33202.0,San Mamés,Hsu Jason
13.0,Sun,2019-11-10,16:00,Atlético Madrid,2.7,3–1,0.4,Espanyol,53069.0,Estadio Wanda Metropolitano,Jesús Gil
13.0,Sun,2019-11-10,18:30,Getafe,1.3,0–0,0.1,Osasuna,10558.0,Coliseum Alfonso Pérez,César Soto
13.0,Sun,2019-11-10,21:00,Betis,1.9,1–2,0.9,Sevilla,52123.0,Estadio Benito Villamarín,Alejandro Hernández
14.0,Fri,2019-11-22,21:00,Levante,1.8,2–1,1.7,Mallorca,15110.0,Estadio Ciudad de Valencia,Valentín Pizarro
14.0,Sat,2019-11-23,13:00,Leganés,0.4,1–2,1.7,Barcelona,12110.0,Estadio Municipal de Butarque,Santiago Jaime
14.0,Sat,2019-11-23,16:00,Betis,1.7,2–1,1.0,Valencia,46545.0,Estadio Benito Villamarín,Ricardo de Burgos
14.0,Sat,2019-11-23,18:30,Granada,0.7,1–1,2.3,Atlético Madrid,17003.0,Estadio Nuevo Los Cármenes,David Medié
14.0,Sat,2019-11-23,21:00,Real Madrid,1.4,3–1,1.6,Real Sociedad,69305.0,Estadio Santiago Bernabéu,Jesús Gil
14.0,Sun,2019-11-24,12:00,Espanyol,1.1,1–1,0.7,Getafe,22031.0,RCDE Stadium,Pablo González
14.0,Sun,2019-11-24,14:00,Osasuna,1.3,1–2,1.1,Athletic Club,16145.0,Estadio El Sadar,José Sánchez
14.0,Sun,2019-11-24,16:00,Eibar,1.4,0–2,1.6,Alavés,6315.0,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
14.0,Sun,2019-11-24,18:30,Villarreal,1.2,1–3,1.9,Celta Vigo,17352.0,Estadio de la Cerámica,José Luis Munuera
14.0,Sun,2019-11-24,21:00,Valladolid,0.5,0–1,1.4,Sevilla,18169.0,Estadio Municipal José Zorrilla,Eduardo Prieto
15.0,Fri,2019-11-29,21:00,Celta Vigo,1.1,0–0,0.4,Valladolid,16918.0,Estadio de Balaídos,Hsu Jason
15.0,Sat,2019-11-30,13:00,Alavés,1.3,1–2,1.8,Real Madrid,19357.0,Estadio de Mendizorroza,Guillermo Cuadra
15.0,Sat,2019-11-30,16:00,Real Sociedad,1.1,4–1,0.6,Eibar,28612.0,Estadio Municipal de Anoeta,Carlos del Cerro
15.0,Sat,2019-11-30,18:30,Mallorca,2.8,1–2,2.2,Betis,16810.0,Iberostar Estadi,Juan Martínez
15.0,Sat,2019-11-30,21:00,Valencia,1.5,2–1,2.1,Villarreal,38521.0,Estadio de Mestalla,César Soto
15.0,Sun,2019-12-01,12:00,Sevilla,2.1,1–0,0.7,Leganés,33648.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos
15.0,Sun,2019-12-01,14:00,Athletic Club,1.9,2–0,1.0,Granada,37974.0,San Mamés,Adrián Cordero
15.0,Sun,2019-12-01,16:00,Espanyol,1.6,2–4,2.7,Osasuna,21238.0,RCDE Stadium,Mario Melero
15.0,Sun,2019-12-01,18:30,Getafe,1.8,4–0,0.6,Levante,6535.0,Coliseum Alfonso Pérez,Daniel Ask
15.0,Sun,2019-12-01,21:00,Atlético Madrid,1.4,0–1,0.9,Barcelona,64226.0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
16.0,Fri,2019-12-06,21:00,Villarreal,1.5,0–0,1.6,Atlético Madrid,17964.0,Estadio de la Cerámica,Alejandro Hernández
16.0,Sat,2019-12-07,13:00,Real Madrid,2.4,2–0,0.5,Espanyol,64125.0,Estadio Santiago Bernabéu,Santiago Jaime
16.0,Sat,2019-12-07,16:00,Granada,2.5,3–0,0.3,Alavés,14773.0,Estadio Nuevo Los Cármenes,Jesús Gil
16.0,Sat,2019-12-07,18:30,Levante,2.1,2–4,3.0,Valencia,23137.0,Estadio Ciudad de Valencia,David Medié
16.0,Sat,2019-12-07,21:00,Barcelona,3.7,5–2,1.3,Mallorca,71072.0,Camp Nou,José Luis Munuera
16.0,Sun,2019-12-08,12:00,Eibar,0.3,0–1,0.9,Getafe,5969.0,Estadio Municipal de Ipurúa,Eduardo Prieto
16.0,Sun,2019-12-08,14:00,Betis,2.0,3–2,1.0,Athletic Club,46106.0,Estadio Benito Villamarín,Valentín Pizarro
16.0,Sun,2019-12-08,16:00,Valladolid,0.6,0–0,1.7,Real Sociedad,18654.0,Estadio Municipal José Zorrilla,Pablo González
16.0,Sun,2019-12-08,18:30,Leganés,1.0,3–2,0.5,Celta Vigo,7115.0,Estadio Municipal de Butarque,José Sánchez
16.0,Sun,2019-12-08,21:00,Osasuna,0.8,1–1,1.5,Sevilla,15045.0,Estadio El Sadar,Daniel Ask
17.0,Fri,2019-12-13,21:00,Alavés,1.2,1–1,0.7,Leganés,15567.0,Estadio de Mendizorroza,César Soto
17.0,Sat,2019-12-14,13:00,Granada,1.2,1–2,1.0,Levante,14127.0,Estadio Nuevo Los Cármenes,Carlos del Cerro
17.0,Sat,2019-12-14,16:00,Real Sociedad,2.7,2–2,1.2,Barcelona,36639.0,Estadio Municipal de Anoeta,Hsu Jason
17.0,Sat,2019-12-14,18:30,Athletic Club,0.9,0–0,0.4,Eibar,43203.0,San Mamés,Mario Melero
17.0,Sat,2019-12-14,21:00,Atlético Madrid,2.5,2–0,0.7,Osasuna,46033.0,Estadio Wanda Metropolitano,José Luis Munuera
17.0,Sun,2019-12-15,12:00,Getafe,1.5,2–0,0.5,Valladolid,10816.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
17.0,Sun,2019-12-15,14:00,Celta Vigo,2.2,2–2,1.6,Mallorca,13247.0,Estadio de Balaídos,Ricardo de Burgos
17.0,Sun,2019-12-15,16:00,Espanyol,1.4,2–2,0.9,Betis,22248.0,RCDE Stadium,Guillermo Cuadra
17.0,Sun,2019-12-15,18:30,Sevilla,1.7,1–2,1.5,Villarreal,36521.0,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
17.0,Sun,2019-12-15,21:00,Valencia,2.3,1–1,1.7,Real Madrid,44230.0,Estadio de Mestalla,José Sánchez
10.0,Wed,2019-12-18,20:00,Barcelona,0.9,0–0,0.8,Real Madrid,93426.0,Camp Nou,Alejandro Hernández
18.0,Fri,2019-12-20,21:00,Eibar,1.9,3–0,1.7,Granada,5341.0,Estadio Municipal de Ipurúa,Pablo González
18.0,Sat,2019-12-21,13:00,Mallorca,0.8,0–2,1.6,Sevilla,14321.0,Iberostar Estadi,Jesús Gil
18.0,Sat,2019-12-21,16:00,Barcelona,1.3,4–1,0.4,Alavés,63054.0,Camp Nou,Mario Melero
18.0,Sat,2019-12-21,18:30,Villarreal,2.3,1–0,0.6,Getafe,14526.0,Estadio de la Cerámica,Santiago Jaime
18.0,Sat,2019-12-21,21:00,Valladolid,0.8,1–1,1.2,Valencia,16295.0,Estadio Municipal José Zorrilla,Valentín Pizarro
18.0,Sun,2019-12-22,12:00,Leganés,1.0,2–0,0.7,Espanyol,10183.0,Estadio Municipal de Butarque,Hsu Jason
18.0,Sun,2019-12-22,14:00,Osasuna,3.4,3–4,2.2,Real Sociedad,16197.0,Estadio El Sadar,David Medié
18.0,Sun,2019-12-22,16:00,Betis,1.1,1–2,1.6,Atlético Madrid,52017.0,Estadio Benito Villamarín,Daniel Ask
18.0,Sun,2019-12-22,18:30,Levante,2.7,3–1,0.9,Celta Vigo,18653.0,Estadio Ciudad de Valencia,Eduardo Prieto
18.0,Sun,2019-12-22,21:00,Real Madrid,2.5,0–0,0.4,Athletic Club,71306.0,Estadio Santiago Bernabéu,Adrián Cordero
19.0,Fri,2020-01-03,19:00,Valladolid,1.8,2–2,2.3,Leganés,21492.0,Estadio Municipal José Zorrilla,Juan Martínez
19.0,Fri,2020-01-03,21:00,Sevilla,1.3,1–1,0.2,Athletic Club,37972.0,Estadio Ramón Sánchez Pizjuán,José González
19.0,Sat,2020-01-04,13:00,Valencia,1.0,1–0,1.0,Eibar,39702.0,Estadio de Mestalla,Alejandro Hernández
19.0,Sat,2020-01-04,16:00,Getafe,1.3,0–3,1.8,Real Madrid,15426.0,Coliseum Alfonso Pérez,José Luis Munuera
19.0,Sat,2020-01-04,18:30,Atlético Madrid,1.2,2–1,0.9,Levante,59084.0,Estadio Wanda Metropolitano,Ricardo de Burgos
19.0,Sat,2020-01-04,21:00,Espanyol,0.7,2–2,2.2,Barcelona,33562.0,RCDE Stadium,Carlos del Cerro
19.0,Sun,2020-01-05,12:00,Granada,1.3,1–0,1.1,Mallorca,16395.0,Estadio Nuevo Los Cármenes,César Soto
19.0,Sun,2020-01-05,14:00,Real Sociedad,0.9,1–2,1.4,Villarreal,31538.0,Estadio Municipal de Anoeta,José Sánchez
19.0,Sun,2020-01-05,16:00,Alavés,0.3,1–1,1.9,Betis,17689.0,Estadio de Mendizorroza,Antonio Matéu Lahoz
19.0,Sun,2020-01-05,21:00,Celta Vigo,1.6,1–1,0.7,Osasuna,11932.0,Estadio de Balaídos,Guillermo Cuadra
20.0,Fri,2020-01-17,21:00,Leganés,0.4,0–3,1.3,Getafe,11450.0,Estadio Municipal de Butarque,Daniel Ask
20.0,Sat,2020-01-18,13:00,Levante,1.2,0–1,2.1,Alavés,16848.0,Estadio Ciudad de Valencia,Guillermo Cuadra
20.0,Sat,2020-01-18,16:00,Real Madrid,1.3,2–1,0.4,Sevilla,72512.0,Estadio Santiago Bernabéu,Juan Martínez
20.0,Sat,2020-01-18,18:30,Osasuna,1.9,0–0,0.5,Valladolid,15382.0,Estadio El Sadar,Hsu Jason
20.0,Sat,2020-01-18,21:00,Eibar,0.8,2–0,1.1,Atlético Madrid,6429.0,Estadio Municipal de Ipurúa,Jesús Gil
20.0,Sun,2020-01-19,12:00,Mallorca,1.9,4–1,0.4,Valencia,9856.0,Iberostar Estadi,Mario Melero
20.0,Sun,2020-01-19,14:00,Betis,1.8,3–0,0.3,Real Sociedad,51171.0,Estadio Benito Villamarín,Adrián Cordero
20.0,Sun,2020-01-19,16:00,Villarreal,2.4,1–2,1.7,Espanyol,12053.0,Estadio de la Cerámica,Pablo González
20.0,Sun,2020-01-19,18:30,Athletic Club,3.7,1–1,0.7,Celta Vigo,41348.0,San Mamés,David Medié
20.0,Sun,2020-01-19,21:00,Barcelona,1.2,1–0,0.2,Granada,65444.0,Camp Nou,Valentín Pizarro
21.0,Fri,2020-01-24,21:00,Osasuna,1.9,2–0,0.6,Levante,14667.0,Estadio El Sadar,César Soto
21.0,Sat,2020-01-25,13:00,Espanyol,0.6,1–1,0.8,Athletic Club,27542.0,RCDE Stadium,José Sánchez
21.0,Sat,2020-01-25,16:00,Valencia,1.2,2–0,1.1,Barcelona,45882.0,Estadio de Mestalla,Jesús Gil
21.0,Sat,2020-01-25,18:30,Alavés,0.9,1–2,1.0,Villarreal,18153.0,Estadio de Mendizorroza,José Luis Munuera
21.0,Sat,2020-01-25,21:00,Sevilla,0.8,2–0,0.6,Granada,33533.0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
21.0,Sun,2020-01-26,12:00,Atlético Madrid,1.0,0–0,0.4,Leganés,52767.0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
21.0,Sun,2020-01-26,14:00,Celta Vigo,1.1,0–0,0.2,Eibar,15490.0,Estadio de Balaídos,José González
21.0,Sun,2020-01-26,16:00,Getafe,1.4,1–0,1.3,Betis,13244.0,Coliseum Alfonso Pérez,Eduardo Prieto
21.0,Sun,2020-01-26,18:30,Real Sociedad,2.5,3–0,0.5,Mallorca,29912.0,Estadio Municipal de Anoeta,Santiago Jaime
21.0,Sun,2020-01-26,21:00,Valladolid,0.3,0–1,0.6,Real Madrid,23404.0,Estadio Municipal José Zorrilla,Ricardo de Burgos
22.0,Sat,2020-02-01,13:00,Granada,1.0,2–1,3.0,Espanyol,15226.0,Estadio Nuevo Los Cármenes,Guillermo Cuadra
22.0,Sat,2020-02-01,16:00,Real Madrid,1.1,1–0,0.4,Atlético Madrid,77223.0,Estadio Santiago Bernabéu,Daniel Ask
22.0,Sat,2020-02-01,18:30,Mallorca,0.6,0–1,1.2,Valladolid,13891.0,Iberostar Estadi,David Medié
22.0,Sat,2020-02-01,21:00,Valencia,1.0,1–0,1.3,Celta Vigo,39637.0,Estadio de Mestalla,Pablo González
22.0,Sun,2020-02-02,12:00,Leganés,1.2,2–1,0.2,Real Sociedad,10842.0,Estadio Municipal de Butarque,Mario Melero
22.0,Sun,2020-02-02,14:00,Eibar,2.2,1–1,1.2,Betis,6558.0,Estadio Municipal de Ipurúa,Juan Martínez
22.0,Sun,2020-02-02,16:00,Athletic Club,0.9,0–2,1.7,Getafe,40291.0,San Mamés,Hsu Jason
22.0,Sun,2020-02-02,18:30,Villarreal,2.1,3–1,0.9,Osasuna,17081.0,Estadio de la Cerámica,Valentín Pizarro
22.0,Sun,2020-02-02,18:30,Sevilla,1.7,1–1,0.7,Alavés,36286.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
22.0,Sun,2020-02-02,21:00,Barcelona,3.4,2–1,1.4,Levante,60295.0,Camp Nou,Adrián Cordero
23.0,Fri,2020-02-07,21:00,Alavés,1.3,2–1,0.1,Eibar,17089.0,Estadio de Mendizorroza,Eduardo Prieto
23.0,Sat,2020-02-08,13:00,Levante,1.0,2–0,1.2,Leganés,17110.0,Estadio Ciudad de Valencia,José González
23.0,Sat,2020-02-08,16:00,Getafe,2.9,3–0,0.3,Valencia,13070.0,Coliseum Alfonso Pérez,Ricardo de Burgos
23.0,Sat,2020-02-08,18:30,Valladolid,0.6,1–1,1.3,Villarreal,17547.0,Estadio Municipal José Zorrilla,Alejandro Hernández
23.0,Sat,2020-02-08,21:00,Atlético Madrid,0.6,1–0,0.9,Granada,54113.0,Estadio Wanda Metropolitano,César Soto
23.0,Sun,2020-02-09,12:00,Espanyol,1.6,1–0,0.6,Mallorca,32084.0,RCDE Stadium,Antonio Matéu Lahoz
23.0,Sun,2020-02-09,14:00,Real Sociedad,2.2,2–1,0.8,Athletic Club,36730.0,Estadio Municipal de Anoeta,José Luis Munuera
23.0,Sun,2020-02-09,16:00,Osasuna,0.9,1–4,2.6,Real Madrid,17000.0,Estadio El Sadar,Jesús Gil
23.0,Sun,2020-02-09,18:30,Celta Vigo,1.6,2–1,1.2,Sevilla,20375.0,Estadio de Balaídos,Santiago Jaime
23.0,Sun,2020-02-09,21:00,Betis,1.0,2–3,1.7,Barcelona,54526.0,Estadio Benito Villamarín,José Sánchez
24.0,Fri,2020-02-14,21:00,Valencia,1.3,2–2,1.2,Atlético Madrid,42297.0,Estadio de Mestalla,David Medié
24.0,Sat,2020-02-15,13:00,Mallorca,2.1,1–0,0.9,Alavés,12329.0,Iberostar Estadi,Valentín Pizarro
24.0,Sat,2020-02-15,16:00,Barcelona,1.8,2–1,1.3,Getafe,89409.0,Camp Nou,Guillermo Cuadra
24.0,Sat,2020-02-15,18:30,Villarreal,0.7,2–1,1.5,Levante,17269.0,Estadio de la Cerámica,Mario Melero
24.0,Sat,2020-02-15,21:00,Granada,2.5,2–1,0.7,Valladolid,15782.0,Estadio Nuevo Los Cármenes,Juan Martínez
24.0,Sun,2020-02-16,12:00,Sevilla,1.8,2–2,0.5,Espanyol,35661.0,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
24.0,Sun,2020-02-16,14:00,Leganés,0.6,0–0,0.6,Betis,11160.0,Estadio Municipal de Butarque,Daniel Ask
24.0,Sun,2020-02-16,18:30,Athletic Club,0.8,0–1,0.6,Osasuna,44222.0,San Mamés,Pablo González
24.0,Sun,2020-02-16,21:00,Real Madrid,2.0,2–2,1.0,Celta Vigo,62477.0,Estadio Santiago Bernabéu,Hsu Jason
25.0,Fri,2020-02-21,21:00,Betis,3.3,3–3,0.9,Mallorca,47231.0,Estadio Benito Villamarín,Jesús Gil
25.0,Sat,2020-02-22,13:00,Celta Vigo,0.2,1–0,0.4,Leganés,19335.0,Estadio de Balaídos,José Luis Munuera
25.0,Sat,2020-02-22,16:00,Barcelona,4.3,5–0,0.5,Eibar,66970.0,Camp Nou,César Soto
25.0,Sat,2020-02-22,18:30,Real Sociedad,1.8,3–0,0.3,Valencia,31381.0,Estadio Municipal de Anoeta,José González
25.0,Sat,2020-02-22,21:00,Levante,0.7,1–0,1.9,Real Madrid,23566.0,Estadio Ciudad de Valencia,Alejandro Hernández
25.0,Sun,2020-02-23,12:00,Osasuna,0.9,0–3,1.3,Granada,14866.0,Estadio El Sadar,José Sánchez
25.0,Sun,2020-02-23,14:00,Alavés,1.8,2–1,0.8,Athletic Club,19412.0,Estadio de Mendizorroza,Antonio Matéu Lahoz
25.0,Sun,2020-02-23,16:00,Valladolid,1.1,2–1,1.2,Espanyol,19645.0,Estadio Municipal José Zorrilla,Eduardo Prieto
25.0,Sun,2020-02-23,18:30,Getafe,0.5,0–3,2.5,Sevilla,13438.0,Coliseum Alfonso Pérez,Daniel Ask
25.0,Sun,2020-02-23,21:00,Atlético Madrid,1.7,3–1,0.4,Villarreal,54462.0,Estadio Wanda Metropolitano,Ricardo de Burgos
26.0,Fri,2020-02-28,21:00,Real Sociedad,2.0,1–0,0.8,Valladolid,30611.0,Estadio Municipal de Anoeta,Valentín Pizarro
26.0,Sat,2020-02-29,13:00,Eibar,2.7,3–0,0.7,Levante,5920.0,Estadio Municipal de Ipurúa,Pablo González
26.0,Sat,2020-02-29,16:00,Valencia,1.0,2–1,1.0,Betis,37418.0,Estadio de Mestalla,Adrián Cordero
26.0,Sat,2020-02-29,18:30,Leganés,1.1,1–1,0.9,Alavés,10043.0,Estadio Municipal de Butarque,Juan Martínez
26.0,Sat,2020-02-29,21:00,Granada,1.0,0–0,0.3,Celta Vigo,15877.0,Estadio Nuevo Los Cármenes,Guillermo Cuadra
26.0,Sun,2020-03-01,12:00,Sevilla,2.4,3–2,1.7,Osasuna,31382.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
26.0,Sun,2020-03-01,14:00,Athletic Club,2.6,1–0,1.0,Villarreal,36350.0,San Mamés,David Medié
26.0,Sun,2020-03-01,16:00,Espanyol,1.2,1–1,0.9,Atlético Madrid,30360.0,RCDE Stadium,Hsu Jason
26.0,Sun,2020-03-01,18:30,Mallorca,0.1,0–1,0.9,Getafe,14241.0,Iberostar Estadi,Mario Melero
