Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
21.0,Sat,2019-01-26,18:30,Leganés,0.7,2–2,0.2,Eibar,9341.0,Estadio Municipal de Butarque,Alejandro Hernández
21.0,Sat,2019-01-26,20:45,Valencia,1.5,3–0,0.7,Villarreal,37685.0,Estadio de Mestalla,Carlos del Cerro
21.0,Sun,2019-01-27,12:00,Valladolid,1.6,2–1,1.0,Celta Vigo,18416.0,Estadio Municipal José Zorrilla,José Sánchez
21.0,Sun,2019-01-27,16:15,Girona,1.3,0–2,2.2,Barcelona,14021.0,Estadi Municipal de Montilivi,Pablo González
21.0,Sun,2019-01-27,18:30,Real Sociedad,0.4,0–0,0.4,Huesca,21252.0,Estadio Municipal de Anoeta,Eduardo Prieto
21.0,Sun,2019-01-27,18:30,Athletic Club,1.1,1–0,0.4,Betis,40282.0,San Mamés,Daniel Ask
21.0,Sun,2019-01-27,20:45,Espanyol,1.1,2–4,2.1,Real Madrid,21215.0,RCDE Stadium,Jesús Gil
21.0,Mon,2019-01-28,21:00,Alavés,1.0,0–1,1.0,Rayo Vallecano,13982.0,Estadio de Mendizorroza,Mario Melero
22.0,Fri,2019-02-01,21:00,Huesca,1.9,4–0,0.5,Valladolid,6052.0,Estadio El Alcoraz,José Luis Munuera
22.0,Sat,2019-02-02,13:00,Levante,0.6,0–0,0.4,Getafe,18437.0,Estadio Ciudad de Valencia,Adrián Cordero
22.0,Sat,2019-02-02,16:15,Real Sociedad,1.5,2–1,1.4,Athletic Club,27073.0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz
22.0,Sat,2019-02-02,18:30,Barcelona,2.0,2–2,3.3,Valencia,76789.0,Camp Nou,Alberto Undiano
22.0,Sat,2019-02-02,20:45,Celta Vigo,1.0,1–0,0.9,Sevilla,17503.0,Estadio de Balaídos,Ricardo de Burgos
22.0,Sun,2019-02-03,12:00,Villarreal,2.8,2–2,1.6,Espanyol,15476.0,Estadio de la Cerámica,Guillermo Cuadra
